epoch	metric	loss	iter	time	train_time	validation_time	epoch_time
9	0.2537	0.4759	252	0.60 hr	124.06s	522.06s	646.12s
19	0.6368	0.4393	532	1.08 hr	122.96s	513.48s	636.64s
29	0.5583	0.3888	812	1.57 hr	122.54s	512.93s	635.47s
39	0.6439	0.3537	1092	2.06 hr	122.42s	512.63s	635.05s
49	0.6442	0.3124	1372	2.55 hr	122.45s	513.00s	635.45s
59	0.5640	0.3525	1652	3.03 hr	122.47s	512.94s	635.41s
69	0.7363	0.3532	1932	3.52 hr	122.41s	512.87s	635.28s
79	0.6352	0.2974	2212	4.01 hr	124.25s	512.60s	636.86s
89	0.7286	0.2975	2492	4.50 hr	140.41s	513.74s	654.25s
99	0.6908	0.4290	2772	4.98 hr	123.21s	512.76s	635.97s
109	0.6733	0.3523	3052	5.47 hr	122.40s	525.19s	647.99s
119	0.7595	0.2904	3332	5.96 hr	124.02s	512.85s	636.87s
129	0.7819	0.2109	3612	6.45 hr	124.47s	513.20s	637.75s
139	0.7315	0.2428	3892	6.95 hr	123.36s	514.19s	637.55s
149	0.7547	0.2322	4172	7.44 hr	123.18s	512.96s	636.14s
159	0.7304	0.2569	4452	7.93 hr	122.57s	513.13s	635.70s
169	0.7797	0.1658	4732	8.42 hr	122.53s	512.89s	635.42s
179	0.7720	0.2169	5012	8.91 hr	137.75s	513.01s	650.78s
189	0.7712	0.3186	5292	9.39 hr	122.59s	512.73s	635.32s
199	0.7770	0.2395	5572	9.88 hr	123.06s	530.45s	654.10s
209	0.7846	0.2364	5852	10.38 hr	122.55s	512.43s	634.98s
219	0.7614	0.2754	6132	10.86 hr	122.82s	513.15s	636.12s
229	0.7617	0.2273	6412	11.36 hr	123.83s	512.84s	636.67s
239	0.7922	0.2411	6692	11.84 hr	122.59s	512.91s	635.50s
