epoch	metric	loss	lr	time	iter
1	0.24215	0.30589	0.20000	8.1	192
2	0.42174	0.21489	0.19990	16.3	384
3	0.37084	0.17777	0.19980	24.4	576
4	0.36366	0.16749	0.19970	32.6	768
5	0.51841	0.15913	0.19960	40.7	960
6	0.55080	0.14872	0.19950	48.8	1152
7	0.51196	0.13103	0.19940	57.0	1344
8	0.56017	0.13670	0.19930	65.2	1536
9	0.50211	0.13215	0.19920	73.3	1728
10	0.50539	0.13593	0.19910	81.5	1920
11	0.54487	0.12509	0.19900	89.7	2112
12	0.55641	0.12621	0.19890	97.8	2304
13	0.56025	0.11858	0.19880	106.1	2496
14	0.52929	0.11914	0.19870	114.3	2688
15	0.60517	0.11590	0.19860	122.4	2880
16	0.58455	0.12193	0.19850	130.6	3072
17	0.57446	0.11850	0.19840	138.8	3264
18	0.60737	0.11590	0.19829	147.0	3456
19	0.59217	0.11033	0.19819	155.2	3648
20	0.62857	0.11466	0.19809	163.4	3840
21	0.59969	0.11519	0.19799	171.6	4032
22	0.59956	0.11238	0.19789	179.8	4224
23	0.63218	0.11561	0.19779	188.0	4416
24	0.61846	0.11924	0.19769	196.0	4608
25	0.62541	0.11227	0.19759	204.3	4800
26	0.61044	0.11010	0.19749	212.5	4992
27	0.60296	0.11656	0.19739	220.6	5184
28	0.62671	0.10689	0.19728	228.8	5376
29	0.57519	0.10838	0.19718	237.1	5568
30	0.63596	0.10965	0.19708	245.3	5760
31	0.63169	0.10879	0.19698	253.4	5952
32	0.64356	0.10428	0.19688	261.6	6144
33	0.63148	0.10022	0.19678	269.7	6336
34	0.65023	0.10788	0.19668	278.0	6528
35	0.52946	0.10780	0.19657	286.1	6720
36	0.63622	0.10864	0.19647	294.3	6912
37	0.64174	0.10870	0.19637	302.4	7104
38	0.63729	0.10590	0.19627	310.5	7296
39	0.63104	0.10524	0.19617	318.7	7488
40	0.66548	0.10032	0.19607	326.8	7680
41	0.65875	0.10290	0.19596	335.0	7872
42	0.67216	0.10842	0.19586	343.2	8064
43	0.63221	0.10898	0.19576	351.4	8256
44	0.62635	0.10430	0.19566	359.6	8448
45	0.66963	0.10034	0.19556	367.8	8640
46	0.65614	0.10238	0.19545	375.9	8832
47	0.57140	0.10267	0.19535	384.1	9024
48	0.61966	0.10214	0.19525	392.3	9216
49	0.60681	0.10223	0.19515	400.4	9408
50	0.66661	0.10911	0.19504	408.6	9600
51	0.64573	0.10539	0.19494	416.8	9792
52	0.66060	0.10317	0.19484	424.9	9984
53	0.53341	0.10116	0.19474	433.0	10176
54	0.68266	0.10387	0.19463	441.1	10368
55	0.67668	0.10216	0.19453	449.3	10560
56	0.63036	0.10216	0.19443	457.5	10752
57	0.65306	0.10387	0.19433	465.6	10944
58	0.60728	0.10048	0.19422	473.8	11136
59	0.66538	0.10389	0.19412	482.0	11328
60	0.55598	0.10045	0.19402	490.2	11520
